Einsum,Dimensions,L_Value,Dtype,JIT_GFLOPS
"lmk,lnk->nm","4,1,128,128",1,"BF16",33.5222
"lmk,lnk->nm","4,2,128,128",2,"BF16",61.2904
"lmk,lnk->nm","4,3,128,128",3,"BF16",84.5191
"lmk,lnk->nm","4,4,128,128",4,"BF16",105.394
"lmk,lnk->nm","4,5,128,128",5,"BF16",123.233
"lmk,lnk->nm","4,6,128,128",6,"BF16",137.113
"lmk,lnk->nm","4,7,128,128",7,"BF16",149.592
"lmk,lnk->nm","4,8,128,128",8,"BF16",160.965
"lmk,lnk->nm","4,9,128,128",9,"BF16",169.105
"lmk,lnk->nm","4,10,128,128",10,"BF16",178.078
"lmk,lnk->nm","4,11,128,128",11,"BF16",183.99
"lmk,lnk->nm","4,12,128,128",12,"BF16",191.571
"lmk,lnk->nm","4,13,128,128",13,"BF16",197.399
"lmk,lnk->nm","4,14,128,128",14,"BF16",201.654
"lmk,lnk->nm","4,15,128,128",15,"BF16",208.648
"lmk,lnk->nm","4,16,128,128",16,"BF16",210.853
"lmk,lnk->nm","4,17,128,128",17,"BF16",214.465
"lmk,lnk->nm","4,18,128,128",18,"BF16",219.037
"lmk,lnk->nm","4,19,128,128",19,"BF16",223.233
"lmk,lnk->nm","4,20,128,128",20,"BF16",226.697
"lmk,lnk->nm","4,21,128,128",21,"BF16",226.844
"lmk,lnk->nm","4,22,128,128",22,"BF16",229.548
"lmk,lnk->nm","4,23,128,128",23,"BF16",233.848
"lmk,lnk->nm","4,24,128,128",24,"BF16",233.996
"lmk,lnk->nm","4,25,128,128",25,"BF16",235.627
"lmk,lnk->nm","4,26,128,128",26,"BF16",238.035
"lmk,lnk->nm","4,27,128,128",27,"BF16",240.229
"lmk,lnk->nm","4,28,128,128",28,"BF16",241.094
"lmk,lnk->nm","4,29,128,128",29,"BF16",244.58
"lmk,lnk->nm","4,30,128,128",30,"BF16",246.605
"lmk,lnk->nm","4,31,128,128",31,"BF16",246.155
"lmk,lnk->nm","4,32,128,128",32,"BF16",246.986
"lmk,lnk->nm","4,33,128,128",33,"BF16",250.375
"lmk,lnk->nm","4,34,128,128",34,"BF16",253.266
"lmk,lnk->nm","4,35,128,128",35,"BF16",252.709
"lmk,lnk->nm","4,36,128,128",36,"BF16",253.451
"lmk,lnk->nm","4,37,128,128",37,"BF16",256.279
"lmk,lnk->nm","4,38,128,128",38,"BF16",255.326
"lmk,lnk->nm","4,39,128,128",39,"BF16",258.114
"lmk,lnk->nm","4,40,128,128",40,"BF16",258.9
"lmk,lnk->nm","4,41,128,128",41,"BF16",258.952
"lmk,lnk->nm","4,42,128,128",42,"BF16",261.224
"lmk,lnk->nm","4,43,128,128",43,"BF16",262.123
"lmk,lnk->nm","4,44,128,128",44,"BF16",262.769
"lmk,lnk->nm","4,45,128,128",45,"BF16",262.452
"lmk,lnk->nm","4,46,128,128",46,"BF16",264.606
"lmk,lnk->nm","4,47,128,128",47,"BF16",264.113
"lmk,lnk->nm","4,48,128,128",48,"BF16",265.023
"lmk,lnk->nm","4,49,128,128",49,"BF16",264.745
"lmk,lnk->nm","4,50,128,128",50,"BF16",267.508
"lmk,lnk->nm","4,51,128,128",51,"BF16",267.867
"lmk,lnk->nm","4,52,128,128",52,"BF16",268.282
"lmk,lnk->nm","4,53,128,128",53,"BF16",269.413
"lmk,lnk->nm","4,54,128,128",54,"BF16",268.75
"lmk,lnk->nm","4,55,128,128",55,"BF16",271.102
"lmk,lnk->nm","4,56,128,128",56,"BF16",269.928
"lmk,lnk->nm","4,57,128,128",57,"BF16",271.969
"lmk,lnk->nm","4,58,128,128",58,"BF16",272.593
"lmk,lnk->nm","4,59,128,128",59,"BF16",272.946
"lmk,lnk->nm","4,60,128,128",60,"BF16",273.474
"lmk,lnk->nm","4,61,128,128",61,"BF16",274.177
"lmk,lnk->nm","4,62,128,128",62,"BF16",274.536
"lmk,lnk->nm","4,63,128,128",63,"BF16",275.077
"lmk,lnk->nm","4,64,128,128",64,"BF16",275.295
"lmk,lnk->nm","4,65,128,128",65,"BF16",273.507
"lmk,lnk->nm","4,66,128,128",66,"BF16",270.116
"lmk,lnk->nm","4,67,128,128",67,"BF16",270.381
"lmk,lnk->nm","4,68,128,128",68,"BF16",270.972
"lmk,lnk->nm","4,69,128,128",69,"BF16",266.683
"lmk,lnk->nm","4,70,128,128",70,"BF16",267.478
"lmk,lnk->nm","4,71,128,128",71,"BF16",271.957
"lmk,lnk->nm","4,72,128,128",72,"BF16",270.149
"lmk,lnk->nm","4,73,128,128",73,"BF16",271.692
"lmk,lnk->nm","4,74,128,128",74,"BF16",271.631
"lmk,lnk->nm","4,75,128,128",75,"BF16",271.317
"lmk,lnk->nm","4,76,128,128",76,"BF16",272.555
"lmk,lnk->nm","4,77,128,128",77,"BF16",273.338
"lmk,lnk->nm","4,78,128,128",78,"BF16",272.592
"lmk,lnk->nm","4,79,128,128",79,"BF16",273.098
"lmk,lnk->nm","4,80,128,128",80,"BF16",271.994
"lmk,lnk->nm","4,81,128,128",81,"BF16",273.067
"lmk,lnk->nm","4,82,128,128",82,"BF16",271.987
"lmk,lnk->nm","4,83,128,128",83,"BF16",273.654
"lmk,lnk->nm","4,84,128,128",84,"BF16",273.344
"lmk,lnk->nm","4,85,128,128",85,"BF16",272.54
"lmk,lnk->nm","4,86,128,128",86,"BF16",274.226
"lmk,lnk->nm","4,87,128,128",87,"BF16",272.732
"lmk,lnk->nm","4,88,128,128",88,"BF16",272.822
"lmk,lnk->nm","4,89,128,128",89,"BF16",272.756
"lmk,lnk->nm","4,90,128,128",90,"BF16",273.749
"lmk,lnk->nm","4,91,128,128",91,"BF16",274.268
"lmk,lnk->nm","4,92,128,128",92,"BF16",272.072
"lmk,lnk->nm","4,93,128,128",93,"BF16",270.705
"lmk,lnk->nm","4,94,128,128",94,"BF16",267.105
"lmk,lnk->nm","4,95,128,128",95,"BF16",271.501
"lmk,lnk->nm","4,96,128,128",96,"BF16",270.372
"lmk,lnk->nm","4,97,128,128",97,"BF16",274.116
"lmk,lnk->nm","4,98,128,128",98,"BF16",265.45
"lmk,lnk->nm","4,99,128,128",99,"BF16",272.928
"lmk,lnk->nm","4,100,128,128",100,"BF16",273.411
"lmk,lnk->nm","4,101,128,128",101,"BF16",271.688
"lmk,lnk->nm","4,102,128,128",102,"BF16",271.027
"lmk,lnk->nm","4,103,128,128",103,"BF16",274.783
"lmk,lnk->nm","4,104,128,128",104,"BF16",272.958
"lmk,lnk->nm","4,105,128,128",105,"BF16",274.728
"lmk,lnk->nm","4,106,128,128",106,"BF16",264.12
"lmk,lnk->nm","4,107,128,128",107,"BF16",274.743
"lmk,lnk->nm","4,108,128,128",108,"BF16",273.388
"lmk,lnk->nm","4,109,128,128",109,"BF16",275.379
"lmk,lnk->nm","4,110,128,128",110,"BF16",271.817
"lmk,lnk->nm","4,111,128,128",111,"BF16",274.039
"lmk,lnk->nm","4,112,128,128",112,"BF16",272.211
"lmk,lnk->nm","4,113,128,128",113,"BF16",274.53
"lmk,lnk->nm","4,114,128,128",114,"BF16",273.128
"lmk,lnk->nm","4,115,128,128",115,"BF16",274.704
"lmk,lnk->nm","4,116,128,128",116,"BF16",274.526
"lmk,lnk->nm","4,117,128,128",117,"BF16",275.161
"lmk,lnk->nm","4,118,128,128",118,"BF16",270.057
"lmk,lnk->nm","4,119,128,128",119,"BF16",275.817
"lmk,lnk->nm","4,120,128,128",120,"BF16",272.684
"lmk,lnk->nm","4,121,128,128",121,"BF16",275.288
"lmk,lnk->nm","4,122,128,128",122,"BF16",267.556
"lmk,lnk->nm","4,123,128,128",123,"BF16",275.516
"lmk,lnk->nm","4,124,128,128",124,"BF16",275.131
"lmk,lnk->nm","4,125,128,128",125,"BF16",275.46
"lmk,lnk->nm","4,126,128,128",126,"BF16",271.269
"lmk,lnk->nm","4,127,128,128",127,"BF16",275.604
"lmk,lnk->nm","4,128,128,128",128,"BF16",274.876
